a2ps	4.14	Any-to-PostScriptフィルター
newlisp	10.6.2	Lispのような汎用スクリプト言語
newsbeuter	2.9	テキスト端末用のRSS/Atomフィードリーダー
newt	0.52.18	カラーテキストモード用のライブラリ、ウィジェットベースのユーザーインターフェイス
nexus	2.11.4-01	バイナリソフトウェアコンポーネントのリポジトリマネージャ
nfcutils	0.3.2	POSIXシステムでの近距離無線通信（NFC）ツール
nfdump	1.6.13	コマンドラインでNetFlowデータを収集および処理するためのツール
nghttp2	1.3.4	HTTP/2Cライブラリ
nginx	1.8.0	HTTP（S）サーバーとリバースプロキシ、およびIMAP/POP3プロキシサーバー
ngircd	22.1	次世代IRCデーモン
ngrep	1.45	ネットワークgrep
ngrok	1.7.1	ローカルホストをインターネットに公開し、トラフィックをキャプチャして再生します
ngspice	26	スパイス回路シミュレーター
nickle	2.77	卓上計算機言語
nicovideo-dl	0.0.20120212	www.nicovideo.jpから動画をダウンロードするコマンドラインプログラム
nifi	0.3.0	データを処理および配布するための使いやすく、強力で信頼性の高いシステム。
nikto	2.1.5	Webサーバースキャナー
nimrod	0.11.2	静的に型付けされた命令型プログラミング言語
ninja	v1.6.0	gypまたはCMakeで使用するための小さなビルドシステム
ninja-ide	v2.3	クロスプラットフォームのPythonIDE
nkf	2.1.3	ネットワーク漢字コード変換フィルター（NKF）
nload	0.7.4	リアルタイムコンソールネットワーク使用状況モニター
nmap	6.47	大規模ネットワーク用のポートスキャンユーティリティ
node	v4.1.1	ネットワークアプリケーションを構築するためにV8JavaScriptランタイム上に構築されたプラットフォーム
nodebrew	v0.8.1	Node.jsバージョンマネージャー
nodenv	v0.3.4	NodeJSバージョン管理
nordugrid-arc	5.0.0	グリッドコンピューティングミドルウェア
norm	1.5r6	NACK指向の信頼性の高いマルチキャスト
normalize	0.7.7	オーディオファイルの音量を標準レベルに調整します
notmuch	0.20.2	スレッドベースの電子メールインデックス、検索、およびタグ付け
noweb	2.11b	WEBのような文芸的プログラミングツール
npth	1.2	新しいGNUポータブルスレッドライブラリ
nq	v0.1	Unixコマンドラインキューユーティリティ
nrg2iso	0.4	NeronrgファイルからISO9660データを抽出します
nrpe	2.15	Nagiosリモートプラグインエグゼキューター
nsd	4.1.3	ネームサーバーデーモン
nspr	4.10.9	システムレベルおよびlibcのような関数用のプラットフォームに依存しないAPI
nsq	v0.3.6	リアルタイム分散メッセージングプラットフォーム
nss	3.20	セキュリティ対応のクライアントおよびサーバーアプリケーション用のライブラリ
ntl	9.3.0	C++数論ライブラリ
ntopng	2.0	オリジナルのntopの次世代バージョン
nu	v2.1.1	オブジェクト指向のLispのようなプログラミング言語
num-utils	0.5	コマンドラインから数値を処理するためのプログラム
nut	2.7.3	ネットワークUPSツール：さまざまなパワーデバイスのサポート
nutcracker	v0.4.0	memcachedとredisのプロキシ
nuttcp	6.1.2	ネットワークパフォーマンス測定ツール
nvi	1.81.6	44BSDによるviの再実装
nvm	v0.27.1	複数のNode.jsバージョンを管理する
nyancat	1.4.4	ANSIエスケープシーケンスを介してレンダリングされた、端末内のNyancat。
nylon	1.21	プロキシサーバー
nzbget	15.0	nzbファイル用のバイナリニュースグラバー
oath-toolkit	2.6.1	ワンタイムパスワード認証システム用のツール
oauth2_proxy	v2.0.1	OAuth2プロバイダーを介してユーザーを認証するためのリバースプロキシ
objc-codegenutils	v1.0	XCodeの操作に役立つ3つの小さなツール
objc-run	1.4	シェルスクリプトのようなタスクにObjective-Cファイルを使用する
ocaml	4.02.3	MLファミリーの汎用プログラミング言語
ocamlsdl	0.9.1	SDLCライブラリとのOCamlインターフェース
ocp	0.1.21	Open CubicPlayerのUNIXポート
ocrad	0.25	光学式文字認識（OCR）プログラム
ode	0.13.1	関節のある剛体力学をシミュレートするためのライブラリ
odo	v0.2.2	コマンドライン用の原子走行距離計
odt2txt	v0.5	OpenDocumentファイルをプレーンテキストに変換する
offline-imap	v6.5.7	2つのリポジトリ間でメールを同期します
oggz	1.1.1	Oggファイルを操作するためのコマンドラインツール
ogmtools	1.5	OGGメディアストリーム操作ツール
ohcount	3.0.0	ソースコードラインカウンター
ola	0.9.7	照明制御情報のためのオープンライティングアーキテクチャ
olsrd	0.9.0.2	最適化されたリンクステートルーティングプロトコルの実装
omega	1.2.18	Xapian上に構築されたウェブサイト用のパッケージ検索エンジン
omniorb	4.2.0	omn​​iORBのIORおよびネーミングサービスユーティリティ
ondir	0.2.3	ディレクトリをトラバースするときにスクリプトを自動的に実行する
one-ml	0.1	MLを再起動し、コア層と（現在はファーストクラスの）モジュール層を統合します
onepass	0.2.1	1Passwordのコマンドラインインターフェース
onetime	1.81	ワンタイムパッドによる暗号化
oniguruma	5.9.6	正規表現ライブラリ
ooniprobe	1.3.1	ネットワーク干渉検出ツール
opam	1.2.2	OCamlのパッケージマネージャー
open-babel	2.3.2	化学ツールボックス
open-cobol	1.1	COBOLコンパイラ
open-mesh	4.1	ポリゴンメッシュを表現および操作するための汎用データ構造
open-mpi	1.10.0	高性能メッセージパッシングライブラリ
open-ocd	0.9.0	オンチップデバッグ、インシステムプログラミング、バウンダリスキャンテスト
open-scene-graph	3.4.0	3Dグラフィックツールキット
open-sp	1.5.2	SGMLパーサー
open-vcdiff	0.8.4	VCDIFF（RFC3284）形式のエンコーダー/デコーダー
open-zwave	1.2.919	選択したZ-WavePCコントローラーのライブラリ
openal-soft	1.16.0	OpenAL3DオーディオAPIの実装
opencbm	0.4.99.97	さまざまなフロッピードライブ形式へのアクセスを提供します
opencc	1.0.3	簡体字-繁体字中国語変換ツール
opencolorio	v1.0.9	映画制作を対象としたカラーマネジメントソリューション
openconnect	7.06	Cisco AnyConnectVPNのクライアントを開く
opencore-amr	0.1.3	Androidオープンソースプロジェクトから抽出されたオーディオコーデック
opendbx	1.4.6	Cの軽量で拡張可能なデータベースアクセスライブラリ
opendetex	2.8.1	ドキュメントからTeXまたはLaTeXコマンドを取り除くためのツール
openexr	2.2.0	OpenEXRグラフィックツール（高ダイナミックレンジ画像ファイル形式）
openh264	v1.3.1	CiscoのH.264コーデック
openhmd	0.1.0	没入型テクノロジー用の無料のオープンソースAPIとドライバー
openjpeg	1.5.2	JPEG-2000画像操作用ライブラリ
openlitespeed	1.3.10	高性能で軽量なHTTPサーバー
openrtsp	2015.08.07	コマンドラインRTSPクライアント
opensaml	2.5.3	セキュリティアサーションマークアップ言語のライブラリ
opensc	0.15.0	スマートカード用のツールとライブラリ
openslide	3.4.1	スライド全体の画像（別名仮想スライド）を読み取るためのCライブラリ
openslp	2.0.0	サービスロケーションプロトコルの実装
openssl	1.0.2j	SSL/TLS暗号化ライブラリ
openvdb	v3.0.0	スパースボリューム処理ツールキット
openvpn	2.3.8	OSIレイヤー2または3の安全なネットワーク拡張を実装するSSLVPN
openwsman	v2.6.0	WS-Managementの実装、帯域内リソース管理の有効化
ophcrack	3.6.0	レインボーテーブルを使用したMicrosoftWindowsパスワードクラッカー
optipng	0.7.5	PNGファイルオプティマイザー
opus	1.1	オーディオコーデック
opus-tools	0.1.9	.opusファイルをエンコード、検査、およびデコードするためのユーティリティ
opusfile	0.6	.opusファイルでデコードおよびシークするためのAPI
orbit	2-2.14.19	CORBA 2.4準拠のオブジェクトリクエストブローカー（ORB）
orc	0.4.23	オイルランタイムコンパイラ（ORC）
orfeo	3.20.0	画像処理アルゴリズムのライブラリ
orientdb	2.1.0	グラフデータベース
orpie	1.5.2	ターミナル用のRPN計算機
ortp	0.24.2	リアルタイムトランスポートプロトコル（RTP、RFC3550）ライブラリ
oscats	0.6	コンピュータ化された適応型テストシステム
osh	20150115	V6UNIXからの/ bin/shの2つのポート（1975年頃）
osm-pbf	v1.3.3	PBFに関連するツール（XML形式の代替）
osm2pgrouting	v2.0.0	OSMデータをpgRoutingデータベースにインポートします
osm2pgsql	0.88.1	OpenStreetMapデータからPostgreSQLへのコンバーター
osmosis	0.43	コマンドラインOpenStreetMapデータプロセッサ
osquery	1.5.3	SQLを利用したオペレーティングシステムのインストルメンテーションと分析
osslsigncode	1.7.1	PE（EXE/SYS/DLL/etc）、CABおよびMSIファイルの認証コード署名
ossp-uuid	1.6.2	UUIDを生成するためのISO-CAPIおよびCLI
osxfuse	2.7.6	FUSE for OS X：サードパーティのファイルシステムを介してネイティブファイル処理を拡張します
osxutils	v1.8.1	Mac固有の情報、設定、およびメタデータへのCLIアクセス
owfs	3.1p0	Dallas/Maxim1-wireシステムを使用して物理環境を監視および制御します
p0f	3.08b	汎用性の高いパッシブOSフィンガープリンティング、マスカレード検出ツール
p11-kit	0.18.4	PKCS＃11モジュールをロードして列挙するためのライブラリ
p7zip	9.20.1	7-Zip（高圧縮ファイルアーカイバ）の実装
pacapt	v2.0.2	スタイルまたはアーチのパックマンのパッケージマネージャー
packer	v0.8.6	複数のプラットフォーム用に同一のマシンイメージを作成するためのツール
pacvim	v1.1.1	ゲームを介してvimコマンドを学ぶ
pakchois	0.4	PKCS＃11ラッパーライブラリ
pam_yubico	2.19	Yubicoプラガブル認証モジュール
pandoc	1.15.0.6	マークアップ形式変換のスイスアーミーナイフ
pandoc-citeproc	0.7.4	pandocでciteprocを使用するためのライブラリと実行可能ファイル
pango	1.38.0	i18nテキストのレイアウトとレンダリングのためのフレームワーク
pangomm	2.36.0	PangoへのC++インターフェース
pangox-compat	0.0.2	テキストのレイアウトとレンダリングのためのライブラリ
paperkey	1.3	OpenPGP秘密鍵から秘密情報だけを抽出する
paps	0.6.8	PangoからPostScriptへのコンバーター
paq8px	v69	データ圧縮アーカイバ
par	1.52	電子メールの段落リフロー
par2	0.4	Parchive：データ回復用のパリティアーカイブボリュームセット
parallel	20150822	GNUパラレルシェルコマンド
parrot	6.9.0	オープンソース仮想マシン（Perl6など用）
partio	v1.1.0	3Dグラフィックス用のパーティクルライブラリ
pass	1.6.5	パスワードマネージャー
passenger	5.0.20	Apache/NGINXを介したRuby、Python、およびNode.jsアプリ用のサーバー
passpie	0.3.2	ターミナルからのログイン資格情報を管理する
pastebinit	1.4.1	コマンドラインからpastebinに物を送る
patchutils	0.3.4	パッチファイルを操作するプログラムの小さなコレクション
